# q  I_recon
1.387095750000000016e-01 4.646173465899341992e-02
1.389917920000000029e-01 4.623087095148516873e-02
1.392740090000000042e-01 4.600109657376875300e-02
1.395562260000000054e-01 4.577246731915662892e-02
1.398384420000000072e-01 4.554494763662559481e-02
1.401206590000000085e-01 4.531847068918819915e-02
1.404028760000000098e-01 4.509301963734606983e-02
1.406850930000000111e-01 4.486863434869318296e-02
1.409673100000000123e-01 4.464534721859520633e-02
1.412495270000000136e-01 4.442313949665292055e-02
1.415317429999999876e-01 4.420197828426566250e-02
1.418139599999999889e-01 4.398182950406034908e-02
1.420961769999999902e-01 4.376266270947561099e-02
1.423783939999999915e-01 4.354446250844631189e-02
1.426606109999999927e-01 4.332727922089345957e-02
1.429428279999999940e-01 4.311117729982420071e-02
1.432250439999999958e-01 4.289615547833523779e-02
1.435072609999999971e-01 4.268214478052467786e-02
1.437894779999999983e-01 4.246909699083979695e-02
1.440716949999999996e-01 4.225704176185000188e-02
1.443539120000000009e-01 4.204602363559377387e-02
1.446361290000000022e-01 4.183602517180401437e-02
1.449183450000000040e-01 4.162697462117227742e-02
1.452005620000000052e-01 4.141882670104009984e-02
1.454827790000000065e-01 4.121163914442307202e-02
1.457649960000000078e-01 4.100548470842563936e-02
1.460472130000000091e-01 4.080035731506605201e-02
1.463294300000000103e-01 4.059618772396624692e-02
1.466116460000000121e-01 4.039292756537201518e-02
1.468938630000000134e-01 4.019059064932978959e-02
1.471760799999999869e-01 3.998920318661814549e-02
1.474582969999999882e-01 3.978877020506035173e-02
1.477405139999999895e-01 3.958928194847671084e-02
1.480227309999999907e-01 3.939072977501761191e-02
1.483049469999999925e-01 3.919310951975864266e-02
1.485871639999999938e-01 3.899641627978821939e-02
1.488693809999999951e-01 3.880065608589229609e-02
1.491515979999999963e-01 3.860583997567573755e-02
1.494338149999999976e-01 3.841196802566040208e-02
1.497160319999999989e-01 3.821901441892033152e-02
1.499982480000000007e-01 3.802695291324799387e-02
1.502804650000000020e-01 3.783578179587896578e-02
1.505626820000000032e-01 3.764551690237975118e-02
1.508448990000000045e-01 3.745616319887785928e-02
1.511271160000000058e-01 3.726770387032327797e-02
1.514093330000000071e-01 3.708012115373576084e-02
1.516915490000000089e-01 3.689341400910919888e-02
1.519737660000000101e-01 3.670758785679145708e-02
1.522559830000000114e-01 3.652264847772725836e-02
1.525382000000000127e-01 3.633859778705200716e-02
1.528204169999999862e-01 3.615543757488967613e-02
1.531026339999999875e-01 3.597317143178020704e-02
1.533848509999999887e-01 3.579180352227046696e-02
1.536670669999999905e-01 3.561131735933031200e-02
1.539492839999999918e-01 3.543165851060739446e-02
1.542315009999999931e-01 3.525278309726124354e-02
1.545137179999999943e-01 3.507473051495917094e-02
1.547959349999999956e-01 3.489757481500214281e-02
1.550781519999999969e-01 3.472134077774082644e-02
1.553603679999999987e-01 3.454597858002626809e-02
1.556425850000000000e-01 3.437143775172706028e-02
1.559248020000000012e-01 3.419771581515887449e-02
1.562070190000000025e-01 3.402482691566553058e-02
1.564892360000000038e-01 3.385277602001141722e-02
1.567714530000000051e-01 3.368155545604209489e-02
1.570536690000000069e-01 3.351115938465464017e-02
1.573358860000000081e-01 3.334159180745749351e-02
1.576181030000000094e-01 3.317286211160706128e-02
1.579003200000000107e-01 3.300496646722318739e-02
1.581825370000000119e-01 3.283788543549417960e-02
